Filename,Category,Word_Count,First_50_Words
cleaned_1 Math Problem Reveals This Popular Doctrinal Error.en.txt,Three-Angels-Messages,14850,1 hey guys Pastor Ivor Myers here and in 2 hey guys Pastor Ivor Myers here and in 3 hey guys Pastor Ivor Myers here and in today's video we're going to be taking a 4 today's video we're going to be taking a 5 today's video we're going to
"cleaned_11,000 Subscribers! Thank you!.en.txt",Bible-Study-Methods,341,1 hey guys just want to take a minute to 2 hey guys just want to take a minute to 3 hey guys just want to take a minute to thank you we have just been notified 4 thank you we have just been notified 5 thank you we have
cleaned_1844 Part 2 New Link.en.txt,Sanctuary-Judgment-1844,72055,1 [Music] 2 3 [Music] 4 5 Hey. Hey. Hey. 6 7 [Music] 8 9 [Music] 10 11 [Music] 12 13 [Music] 14 15 Heat. Heat. 16 Heat. Heat. 17 Heat. Heat. [Music] 18 19 [Music] 20 21 [Music] 22 23 [Music] 24 25 [Music] 26 27 Heat. 28 29
cleaned_1844 Part 2 New Link.en.txt,Marriage-Family,72055,1 [Music] 2 3 [Music] 4 5 Hey. Hey. Hey. 6 7 [Music] 8 9 [Music] 10 11 [Music] 12 13 [Music] 14 15 Heat. Heat. 16 Heat. Heat. 17 Heat. Heat. [Music] 18 19 [Music] 20 21 [Music] 22 23 [Music] 24 25 [Music] 26 27 Heat. 28 29
cleaned_1844 Part 2 New Link.en.txt,Sabbath-Law,72055,1 [Music] 2 3 [Music] 4 5 Hey. Hey. Hey. 6 7 [Music] 8 9 [Music] 10 11 [Music] 12 13 [Music] 14 15 Heat. Heat. 16 Heat. Heat. 17 Heat. Heat. [Music] 18 19 [Music] 20 21 [Music] 22 23 [Music] 24 25 [Music] 26 27 Heat. 28 29
cleaned_20240216 - Justification By Faith and the Doctrine of Eternal Torment.en.txt,Sermons-General,30348,1 hey guys Pastor Myers here I want to 2 hey guys Pastor Myers here I want to 3 hey guys Pastor Myers here I want to invite you to check out this message on 4 invite you to check out this message on 5 invite you to check out
cleaned_20240226 - Devil's Advocate？.en.txt,Marriage-Family,36254,"1 Hey guys, Pastor Myers here. I want to 2 Hey guys, Pastor Myers here. I want to 3 Hey guys, Pastor Myers here. I want to invite you to check out this very 4 invite you to check out this very 5 invite you to check out this very"
cleaned_20240226 - Devil's Advocate？.en.txt,Current-Events-Commentary,36254,"1 Hey guys, Pastor Myers here. I want to 2 Hey guys, Pastor Myers here. I want to 3 Hey guys, Pastor Myers here. I want to invite you to check out this very 4 invite you to check out this very 5 invite you to check out this very"
cleaned_20240226 - Devil's Advocate？.en.txt,Sabbath-Law,36254,"1 Hey guys, Pastor Myers here. I want to 2 Hey guys, Pastor Myers here. I want to 3 Hey guys, Pastor Myers here. I want to invite you to check out this very 4 invite you to check out this very 5 invite you to check out this very"
"cleaned_20240321 - Investing, and How to Avoid Bankruptcy in the Last Days.en.txt",Sabbath-Law,22090,1 no man anything but to love one 2 no man anything but to love one 3 no man anything but to love one another for he that loveth another hath 4 another for he that loveth another hath 5 another for he that loveth another hath fulfilled the 6
cleaned_20240410 - Time Restricted Eating ｜ Morning vs. Midday Meals.en.txt,Apologetics-Defense,7681,1 today we're going to talk about a very 2 today we're going to talk about a very 3 today we're going to talk about a very interesting randomized control trial 4 interesting randomized control trial 5 interesting randomized control trial that was published back in February of 6 that
